ds,yhat,yhat_lower,yhat_upper
2011-01-01,2963.324919367332,-2725.448195100546,8282.219262699746
2011-01-02,-2206.0034606585223,-7796.9046179826755,2806.879840408141
2011-01-03,7288.418982746489,1902.4943248346556,12725.708434177925
2011-01-04,7078.1762035700485,1425.8814641097342,12336.63333735894
2011-01-05,6246.811320628882,552.6373818001765,11657.77209961348
2011-01-06,6350.23258614051,706.0525215149287,11616.727011061817
2011-01-07,6393.267004725611,847.2764092727699,11763.705254841045
2011-01-08,567.3210748726688,-4796.487971117272,6208.840067226466
2011-01-09,-4512.144194101842,-10028.996236590863,444.615241961194
2011-01-10,5101.116193958714,-186.46351461695897,10632.733248532606
2011-01-11,5036.0611699870515,-291.2601341056396,10575.354012771373
2011-01-12,4373.055663149586,-1349.2167050583269,9782.693697353068
2011-01-13,4664.353712246387,-509.1463488029238,10135.47092730559
2011-01-14,4910.740269018795,-391.5695372568969,10685.857627327732
2011-01-15,-700.7110554147157,-5893.961258441871,4825.021936508614
2011-01-16,-5559.059581814614,-10849.111832674751,46.05376827220482
2011-01-17,4277.339108454838,-692.1747222279723,9410.021613853392
2011-01-18,4432.871454418653,-1222.3152791643654,9475.963069170903
2011-01-19,3983.464768746792,-1506.6226279751186,9172.162094313178
2011-01-20,4477.172969303802,-1260.2636092766995,9834.535141362507
2011-01-21,4910.914327889777,-167.53746935367852,10418.37102744921
2011-01-22,-531.6838340528247,-5846.019862664826,4840.4463566537115
2011-01-23,-5242.630860815016,-10401.908032650319,209.27770502726585
2011-01-24,4717.326927540924,-924.5343938499076,9851.19987958178
2011-01-25,4970.793233182916,-727.8055546651448,10313.856620981613
2011-01-26,4592.553976758235,-657.9190152037717,10301.172154490707
2011-01-27,5130.18032477076,-481.7072561051244,10001.662731466662
2011-01-28,5580.767424252484,13.391184085616077,11089.7162660825
2011-01-29,128.7639282968521,-5104.4575988293955,5952.966928063857
2011-01-30,-4616.4044842188005,-9644.906905840318,1256.9842333315885
2011-01-31,5286.51917229111,-356.4369892816538,10774.204981708128
2011-02-01,5462.651447819033,-7.726987005877173,11001.949432098689
2011-02-02,4989.730218027242,-845.3128626618759,10826.633269015694
2011-02-03,5418.637497163572,-14.433522011731155,11132.325996735703
2011-02-04,5750.05032027535,143.02526291159467,11220.889607565145
2011-02-05,172.17708858097103,-5743.967509667485,5097.832461177074
2011-02-06,-4701.715003178263,-10560.078302693295,714.4575645827935
2011-02-07,5073.457769935578,-354.92846209028517,10694.828516567784
2011-02-08,5126.529361452974,-393.88071438895355,10903.953502189785
2011-02-09,4538.755494020345,-581.8673359447125,10017.077133416975
2011-02-10,4864.2527981912845,-553.9528054447085,10270.543044273854
2011-02-11,5106.574575636656,-621.2080904089381,10717.238478838766
2011-02-12,-543.6176612867248,-5754.002129300212,4895.427491500456
2011-02-13,-5471.079788447792,-10793.834253022369,227.3125666913966
2011-02-14,4270.732559464295,-999.8860383477728,9673.867752521455
2011-02-15,4311.571287825162,-1309.9668899815476,9955.473008291325
2011-02-16,3733.0551123106934,-1632.0797152598645,9441.104653514389
2011-02-17,4089.110605127349,-1231.6385436875198,9729.775973375534
2011-02-18,4382.563731800237,-1012.2491082090189,9739.997747472855
2011-02-19,-1197.1596532638114,-6744.674168111015,4100.828158558697
2011-02-21,3808.9143310015106,-1944.0805579889832,9320.187869295387
2011-02-22,3966.4182935255776,-1586.3039488191253,9620.792805568935
2011-02-23,3514.855814037397,-1658.868429848282,8915.465738042169
2011-02-24,4005.1866889740754,-1232.5624259498506,9753.116570367161
2011-02-25,4437.138032402295,-939.6153828363126,9654.699383900837
2011-02-26,-1003.0155490704647,-6144.185674409519,4992.28479015734
2011-02-27,-5704.857309302635,-11036.84879741673,-165.83930914342835
2011-02-28,4273.017800898256,-1066.4700316187163,9773.463734478686
2011-03-01,4555.043787224744,-1085.8791525627414,10054.633058145313
2011-03-02,4217.477540470492,-1113.3620079136247,9516.761624300634
2011-03-03,4808.972372068894,-621.0502799857856,10057.420364267866
2011-03-04,5327.296527066785,-77.1219570410546,10887.264873794677
2011-03-05,-42.84796244187601,-5873.559609491191,5588.177500462431
2011-03-06,-4692.20281616528,-10220.035226802345,450.71971228286736
2011-03-07,5319.909181272379,-151.28726892374596,10694.793143170113
2011-03-08,5617.62995280129,491.1898246033637,11139.027544647119
2011-03-09,5277.353965164844,15.290972040523076,10314.65001462124
2011-03-10,5848.284949336296,520.2562450803861,11208.154437084968
2011-03-11,6329.127638120412,981.8272899750398,12055.538797330613
2011-03-12,905.870894055317,-4787.156959374448,5884.81455871538
2011-03-14,6122.143144475071,487.5844082548518,11310.33861028399
2011-03-15,6330.395436085871,898.7735019695598,11625.358950822003
2011-03-16,5892.716124676599,559.3648387473538,11615.095837048546
2011-03-17,6360.592412235293,773.3743044897939,12200.52865754924
2011-03-18,6735.038679849175,1286.649038425129,11752.523425984338
2011-03-19,1204.322072779095,-4267.272932587864,6992.314805921719
2011-03-21,6211.11888207687,336.08960480122977,11600.561219761517
2011-03-22,6321.28981355129,1108.3301836574935,11955.124761091189
2011-03-23,5792.252546974017,181.60980566626225,11393.263407780256
2011-03-24,6176.907193640757,591.7409772317176,11277.925288671186
2011-03-25,6477.411839431089,953.2420093427027,11469.841866101053
2011-03-26,882.8943469531305,-4311.488903390979,6235.065350869874
2011-03-27,-3993.028505827707,-9843.763346365788,1504.3091700942016
2011-03-28,5794.514611830948,56.41975724954745,11240.3483476629
2011-03-29,5873.606858117975,633.9950836139817,11480.020318845129
2011-03-30,5324.25306869519,-529.0324951322136,10907.435249502465
2011-03-31,5698.870598154225,206.17007567874964,11591.611969408796
2011-04-01,5998.928487251054,437.4767072651143,11237.502613099323
2011-04-02,412.6921140280201,-5268.470599603696,6061.736285646897
2011-04-03,-4447.221818839321,-9932.587152432016,1027.8220166073424
2011-04-04,5362.957999819382,-190.70789702539807,11244.193851513737
2011-04-05,5470.153001490167,-431.4753678469618,11038.177426823766
2011-04-06,4953.18224078649,-735.4041151568126,9618.951939420398
2011-04-07,5363.289200940815,-216.58877974750803,10739.50265195352
2011-04-08,5700.814222236618,159.63655830667983,11391.78843639071
2011-04-09,152.96883619892014,-5313.461611268257,5451.9439285687395
2011-04-11,5179.0944967741725,-197.99436036485707,10938.482434908503
2011-04-12,5322.228447802239,420.4594824802778,10296.574031921777
2011-04-13,4839.085841715598,-428.16224979586514,9836.824785944613
2011-04-14,5280.509041715651,24.37817903519248,10300.74248992069
2011-04-15,5646.586368947441,469.3619195168354,11534.901330339679
2011-04-16,124.4205107249827,-4907.2699534004505,5409.759743765893
2011-04-18,5193.501204435227,-77.81357108327681,10548.028505308144
2011-04-19,5354.296839060769,-569.5615748006504,10629.396605149288
2011-04-20,4886.678473494507,-486.2736050775773,10666.048522610814
2011-04-21,5341.874081924294,-244.36459513393282,10922.443144008646
2011-04-22,5720.396258801282,232.68746227600914,11337.93391235994
2011-04-23,209.78914853452625,-5112.541122634322,5755.993388315689
2011-04-24,-4577.822001883293,-9927.65298116105,1081.4940104865248
2011-04-25,5301.06008821842,-186.51393011841554,10826.111752044495
2011-04-26,5473.281959342403,46.23503836538457,10871.572356349134
2011-04-27,5017.763828726916,-766.6951010245937,10462.188636554118
2011-04-28,5485.999739530471,-235.44944134931066,11322.26455556313
2011-04-29,5878.701053404753,503.4630908752468,11367.458036835676
2011-04-30,383.540852214338,-5188.7032330743705,5910.051203580657
2011-05-02,5509.68572975919,90.07293913487345,11243.665820171613
2011-05-03,5701.270402369187,331.1723427194178,11102.302541508787
2011-05-04,5266.272423151544,-400.60018704996037,10745.936941895565
2011-05-05,5756.045740257134,140.66863737032253,11281.481762438356
2011-05-06,6171.141817955111,969.0573349716892,11534.024550248458
2011-05-07,699.0686359727279,-4840.257285717864,6363.543669996742
2011-05-08,-4048.1440386530403,-9211.31684028671,1682.583520938165
2011-05-09,5872.864711154249,729.9285074863293,11393.882350712458
2011-05-10,6088.784273992994,308.7974643339414,11323.71877122619
2011-05-11,5678.377567935255,659.4637985670148,11624.745161297065
2011-05-12,6193.001234933953,838.3845652047472,11555.268012474284
2011-05-13,6633.267460395749,1077.782817114268,12126.114408429949
2011-05-14,1186.8039279141776,-4556.373734932237,6843.877531751719
2011-05-15,-3534.183673244929,-9116.962308790822,2006.1668289633508
2011-05-16,6413.891164625926,1043.153314930211,12049.178146843049
2011-05-17,6657.982842473055,1311.2067251498459,12359.92916923149
2011-05-18,6277.1450112070315,989.8175600503208,11747.412054276985
2011-05-19,6823.0340014525,1150.508981722762,12603.73675673443
2011-05-20,7296.551344753772,2074.0016876185236,12602.561960610576
2011-05-21,1885.5825481856573,-3599.060810781395,7452.481214966398
2011-05-22,-2797.462704313969,-8060.812286851266,2406.0468228167956
2011-05-23,7191.1296622615155,2047.735920577817,12547.476518521526
2011-05-24,7478.343184486433,1980.847663745338,13191.15039229671
2011-05-25,7143.141716639642,1958.9745184762041,12338.549906516137
2011-05-26,7736.954755201097,2742.8080516976065,13522.555719317821
2011-05-27,8260.305127656407,2697.4922943341007,13575.596997242776
2011-05-28,2900.5369794300295,-2330.1029354604816,8101.505009327321
2011-05-30,8309.578549889131,2552.2597854814826,13270.421670975318
2011-05-31,8647.162404340805,3124.2889230058818,14374.775330893479
2011-06-01,8359.867854520933,3101.8487738034996,13763.821467653672
2011-06-02,8997.790352032254,3499.709241092475,14555.075596437171
2011-06-03,9560.004986779533,4126.336187396813,14847.00671032483
2011-06-04,4232.322912854246,-1051.120991957264,9610.227395879165
2011-06-05,-375.1409980929102,-5590.8499692549985,5058.110089990881
2011-06-06,9678.849177894608,4558.324610001887,15077.506151203195
2011-06-07,10018.661827190914,4474.871570753443,15309.467699698967
2011-06-08,9720.563449100548,4077.1571376981874,14950.319343357996
2011-06-09,10333.266170929426,5137.522773831038,15970.471486863702
